Longitude,Latitude,Depth
-99.25055408,47.13085607,-1.6
-99.25056833,47.13086448,-0.8
-99.25057686,47.13086943,-1.7
-99.25058502,47.1308737,-1.2
-99.25059279,47.13087846,-1.5
-99.25060059,47.13088469,-0.9
-99.25060841,47.13089191,-0.9
-99.25061672,47.13089879,-0.9
-99.25062594,47.13090928,-0.9
-99.25063775,47.1309196,-0.9
-99.25065011,47.13093128,-1
-99.25066331,47.13094307,-1
-99.25067812,47.13095318,-1
-99.25069352,47.13096383,-1
-99.25071047,47.13097322,-1.1
-99.25072825,47.13098387,-1.1
-99.25074697,47.13099306,-1.1
-99.25076568,47.13100151,-1.1
-99.25078463,47.13101027,-1.1
-99.25080314,47.13101843,-1.1
-99.25082309,47.13102603,-1.2
-99.25084153,47.13103555,-1.2
-99.25086309,47.13104305,-1.3
-99.25088453,47.13105071,-1.3
-99.25090761,47.13106012,-1.3
-99.2509288,47.1310682,-1.3
-99.2509499,47.1310796,-1.3
-99.25097091,47.13108972,-1.4
-99.25099023,47.13110239,-1.4
-99.2510104,47.13111495,-1.4
-99.25102956,47.13112711,-1.3
-99.25104662,47.13113968,-1.3
-99.25106509,47.13115356,-1.3
-99.25108406,47.13116567,-1.3
-99.25110438,47.13117904,-1.3
-99.25112499,47.13119213,-1.3
-99.25114513,47.13120578,-1.3
-99.25116589,47.13121637,-1.3
-99.25118512,47.13122765,-1.3
-99.25120623,47.13123867,-1.3
-99.25122731,47.13125036,-1.3
-99.2512509,47.13125997,-1.3
-99.25127177,47.13127153,-1.2
-99.25129306,47.13128281,-1.2
-99.25131476,47.1312918,-1.2
-99.25133511,47.13130137,-1.1
-99.2513559,47.13130972,-1.2
-99.25137753,47.13131947,-1.1
-99.25139643,47.13132811,-1.1
-99.25141501,47.13133542,-1.1
-99.25143616,47.13134394,-1.1
-99.25145436,47.13134833,-1.1
-99.25147417,47.13135136,-1.1
-99.25149115,47.13135141,-1.1
-99.25150876,47.13134929,-1.1
-99.25152571,47.13134717,-1.1
-99.2515433,47.13134409,-1.1
-99.25155811,47.13134056,-1
-99.25157364,47.13133485,-1.1
-99.2515874,47.13132793,-1.1
-99.25159998,47.13132051,-1.1
-99.25161604,47.13130941,-1.1
-99.25163263,47.13129664,-1.1
-99.25164323,47.13128346,-1.1
-99.25164942,47.1312706,-1.1
-99.25164521,47.13126114,-1.1
-99.251641,47.13125067,-1.2
-99.25163372,47.13124339,-1.2
-99.25162498,47.13123739,-1.3
-99.25161238,47.13123759,-1.3
-99.25159932,47.13123941,-1.3
-99.25158425,47.13124123,-1.4
-99.25156704,47.13124078,-1.4
-99.25155117,47.13123719,-1.3
-99.25153447,47.13123436,-1.4
-99.25151891,47.13123183,-1.4
-99.2515035,47.13122859,-1.4
-99.25149009,47.13122343,-1.5
-99.25148029,47.13121517,-1.5
-99.25146897,47.13120761,-1.5
-99.25145789,47.13119959,-1.5
-99.25144446,47.13119008,-1.5
-99.25143259,47.13118204,-1.5
-99.25141984,47.1311718,-1.5
-99.25140572,47.13116098,-1.6
-99.2513938,47.13114949,-1.5
-99.25138266,47.13113669,-1.6
-99.25137206,47.13112513,-1.6
-99.25136037,47.13111272,-1.6
-99.25134918,47.13109988,-1.6
-99.25133733,47.13108932,-1.7
-99.25132421,47.13107751,-1.7
-99.2513111,47.13106757,-1.7
-99.25129443,47.13105927,-1.7
-99.25127843,47.13105198,-1.7
-99.25126124,47.13104304,-1.7
-99.25124448,47.13103459,-1.7
-99.25122896,47.1310261,-1.7
-99.25121146,47.13101634,-1.7
-99.25119472,47.13100772,-1.7
-99.25117899,47.13099813,-1.7
-99.25116491,47.13098739,-1.7
-99.25115015,47.13097616,-1.7
-99.25113796,47.13096402,-1.7
-99.25112466,47.1309521,-1.8
-99.25111224,47.13094012,-1.8
-99.25109926,47.13092741,-1.8
-99.25108585,47.13091784,-1.8
-99.25107267,47.13090607,-1.8
-99.25105796,47.1308949,-1.8
-99.25104311,47.13088561,-1.8
-99.25102567,47.13087753,-1.8
-99.25100771,47.1308693,-1.7
-99.25098905,47.13086287,-1.7
-99.25097112,47.13085656,-1.7
-99.25095298,47.13084938,-1.7
-99.25093514,47.13084232,-1.7
-99.25091589,47.13083461,-1.6
-99.25089542,47.13082542,-1.7
-99.25087336,47.13081438,-1.7
-99.25084923,47.13080341,-1.6
-99.2508241,47.13078901,-1.6
-99.25079541,47.13077419,-1.6
-99.25077223,47.13075855,-1.6
-99.25074602,47.13074351,-1.5
-99.25072154,47.13072777,-1.5
-99.2506978,47.13071282,-1.5
-99.25067214,47.13069634,-1.4
-99.25064957,47.13068276,-1.4
-99.25063459,47.13066841,-1.3
-99.25062343,47.13065308,-1.3
-99.25061614,47.13063912,-1.3
-99.2506117,47.13062421,-1.2
-99.25060871,47.13060576,-1.2
-99.25061338,47.13058307,-1.2
-99.25061882,47.13056119,-1.2
-99.25062716,47.13054056,-1.2
-99.25064439,47.13052177,-1.2
-99.25066576,47.13050565,-1.3
-99.25069324,47.13049589,-1.4
-99.25072247,47.13048978,-1.4
-99.25075353,47.13049191,-1.5
-99.25078514,47.13049744,-1.6
-99.25081296,47.13050518,-1.6
-99.25083872,47.13051614,-1.7
-99.25085949,47.13053308,-1.7
-99.25088345,47.13055042,-1.7
-99.25090441,47.13056794,-1.7
-99.25092775,47.13058715,-1.8
-99.25095175,47.13060594,-1.8
-99.25097448,47.13062535,-1.9
-99.2509991,47.13064544,-1.9
-99.25102363,47.1306644,-1.9
-99.25105188,47.13068156,-1.9
-99.25107892,47.13069789,-1.9
-99.25110653,47.1307134,-1.9
-99.25113635,47.13072844,-1.9
-99.25116733,47.13074314,-1.9
-99.25119594,47.13075798,-2
-99.25122628,47.13077364,-2
-99.25125549,47.13078896,-2
-99.25128655,47.13080136,-2
-99.25131761,47.13081692,-2
-99.25134864,47.13083086,-2
-99.25137686,47.13084643,-2
-99.25140562,47.1308626,-2
-99.25143321,47.13087856,-2
-99.25146134,47.13089572,-1.9
-99.2514851,47.1309133,-1.9
-99.2515144,47.13093044,-1.9
-99.25153977,47.13094803,-1.9
-99.25156588,47.13096561,-1.9
-99.25159367,47.13098317,-1.9
-99.25161941,47.1310023,-1.8
-99.25164635,47.13101982,-1.8
-99.25167123,47.13103713,-1.7
-99.25169652,47.13105335,-1.7
-99.25172184,47.13107286,-1.6
-99.25174751,47.13108964,-1.6
-99.25177318,47.13110698,-1.6
-99.25179881,47.13112637,-1.5
-99.25182228,47.13114531,-1.5
-99.2518476,47.13116259,-1.4
-99.25187334,47.1311821,-1.4
-99.25189823,47.13120059,-1.3
-99.25192456,47.13121776,-1.2
-99.25195129,47.13123572,-1.2
-99.25197786,47.13125148,-1.1
-99.25200572,47.13126745,-1.1
-99.25203542,47.13128029,-1.1
-99.25206837,47.13129151,-1.1
-99.2521017,47.13129716,-1.1
-99.25213731,47.13129525,-1.1
-99.25216935,47.13129334,-1.2
-99.25220332,47.13129143,-1.3
-99.25223205,47.13128409,-1.3
-99.25225541,47.13127238,-1.4
-99.25228068,47.13126099,-1.5
-99.2523,47.13124315,-1.6
-99.25231727,47.13122566,-1.7
-99.25232995,47.13120673,-1.7
-99.25232994,47.1311863,-1.7
-99.25232623,47.1311675,-1.8
-99.25232098,47.13114975,-1.8
-99.25230973,47.13113229,-1.8
-99.25229124,47.13111743,-1.9
-99.25227073,47.13110677,-1.9
-99.25224571,47.13109636,-1.9
-99.25221814,47.13108733,-1.9
-99.25218976,47.131077,-1.9
-99.252162,47.1310645,-1.9
-99.25213828,47.13105288,-1.9
-99.2521157,47.13103762,-1.9
-99.2520937,47.13102246,-1.9
-99.25207454,47.131006,-1.9
-99.2520542,47.13098746,-1.9
-99.2520351,47.13096919,-2
-99.25201328,47.13095248,-2
-99.25199464,47.13093577,-2
-99.25197192,47.13091819,-2.1
-99.2519506,47.13090062,-2
-99.25192523,47.13088501,-2
-99.2519021,47.13086969,-2
-99.25187455,47.13085676,-2
-99.25184842,47.13084409,-2.1
-99.25181741,47.13083382,-2
-99.25178771,47.13082373,-2
-99.25175777,47.13081316,-2.1
-99.25172675,47.13080438,-2.1
-99.25169571,47.13079413,-2.1
-99.25166466,47.13078609,-2
-99.25163651,47.13077595,-2.1
-99.25160506,47.13076718,-2.1
-99.25157992,47.13075448,-2
